Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
482003,STRAY,9/24/2021,*STAR,DOG,1 YEAR 2 MONTHS,MED,BLACK / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482003&location=MONT,"12600 FARNELL DR, SILVER SPRING MD 20906"
482375,STRAY,10/4/2021,*BAMBI,OTHER,2 YEARS,MED,BROWN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482375&location=MONT,"11400 DECEMBER WAY, SILVER SPRING MD 20904"
475631,STRAY,4/26/2021,*TENBROOK,CAT,12 YEARS,MED,GRAY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A475631&location=MONT,"10000 TENBROOK DR, SILVER SPRING MD 20901"
480910,STRAY,8/27/2021,*JOEY,OTHER,NO AGE,MED,GREEN,LIZARD / IGUANA,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A480910&location=MONT,"0 N SUMMIT AVE, GAITHERSBURG MD 20877"
482918,OWNER SUR,10/18/2021,HONEY,DOG,3 YEARS,MED,BRINDLE / WHITE,AMERICAN STAFF,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482918&location=MONT,
483095,OWNER SUR,10/21/2021,BELLA,CAT,6 MONTHS,KITTE,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483095&location=MONT,
472017,OWNER SUR,1/17/2021,ATILA,BIRD,1 YEAR 3 MONTHS,LARGE,BLACK,CHICKEN / AUSTRALORP,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A472017&location=MONT,
482383,OWNER SUR,10/4/2021,BELLA,DOG,1 YEAR 6 MONTHS,MED,TAN / BLACK,GERM SHEPHERD / SIBERIAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482383&location=MONT,
481870,OWNER SUR,9/20/2021,SERENA,CAT,12 YEARS,MED,BLACK,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481870&location=MONT,
482463,STRAY,10/6/2021,*HEN1,BIRD,NO AGE,MED,RED,RHODE ISLAND,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482463&location=MONT,"1800 GLENALLAN AVE, SILVER SPRING MD 20902"
468915,STRAY,10/16/2020,*MIKE,BIRD,1 YEAR 6 MONTHS,MED,WHITE / BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468915&location=MONT,"19000 RED ROBIN TER, GERMANTOWN MD 20874"
482465,STRAY,10/6/2021,*HEN3,BIRD,NO AGE,MED,RED,RHODE ISLAND,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482465&location=MONT,"1800 GLENALLAN AVE, SILVER SPRING MD 20902"
481777,STRAY,9/17/2021,*HIP HOP,OTHER,2 YEARS,MED,WHITE,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481777&location=MONT,"1300 GALVEZ ST, SILVER SPRING MD 20906"
481886,STRAY,9/20/2021,*BLIZZARD,OTHER,1 YEAR 2 MONTHS,SMALL,WHITE,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481886&location=MONT,"19500 FRAMINGHAM DR, GAITHERSBURG MD 20879"
482258,STRAY,10/1/2021,*WALKER,DOG,2 YEARS,MED,RED / WHITE,ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482258&location=MONT,"OLNEY LAYTONSVILLE RD, 20832"
468913,STRAY,10/16/2020,*JOEY,BIRD,1 YEAR 6 MONTHS,MED,WHITE / BLACK,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A468913&location=MONT,"19000 RED ROBIN TER, GERMANTOWN MD 20874"
482232,STRAY,9/30/2021,*BUFORD,BIRD,NO AGE,SMALL,BLACK / ORANGE,CHICKEN,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A482232&location=MONT,"7200 13TH PL, TAKOMA PARK MD 20912"
